id,name,road_code,road_type,length_km,speed_limit,lanes,direction,description,city,region,province,district,commune,village,country,status,is_deleted,created_at,updated_at
f03d7caa-f26a-4bff-8c92-592f861809f8,Kob Srov Road,PP-RD-012,urban,7.6,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Russey Keo,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9ec4dcb4-d0c3-4524-abf0-7d5c5098c719,Turnpum Dike Road,PP-RD-013,urban,7.18,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Dangkao,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
509b9252-df0e-45ab-a43b-493989e7c8b2,Cheung Aek Bypass,PP-RD-014,urban,5.34,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chbar Ampov,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
a02c6cb6-0ada-476f-84f6-87f09022cb4e,Russei Kaev Bypass,PP-RD-015,urban,3.84,50,4,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Prampir Makara,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
32c7d3db-a0e7-4ce8-9ccd-b822384c9165,Road 271 (C1),PP-RD-016,urban,5.67,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Mean Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
2163e68c-dc75-4120-b6c5-1835fa5bc5bb,C1 Ring Road,PP-RD-017,urban,5.72,50,4,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chroy Changvar,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
b4287d6d-0359-4dc9-9a2a-2ebd1b7121ac,C2 Ring Road,PP-RD-018,urban,6.31,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Mean Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9479a649-083f-4bd5-ab87-f8779814ab0f,C3 Ring Road,PP-RD-019,urban,4.11,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Prampir Makara,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
a0baf562-69fd-4eae-a75c-0e431d52e123,National Road 1 (NR1),PP-RD-020,highway,5.49,70,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Mean Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
27a9fc88-0c0c-40d7-8975-c409926daaf5,National Road 2 (NR2),PP-RD-021,highway,1.59,70,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chroy Changvar,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
05fbbed6-f316-48df-bcbb-e4cfa5db5447,National Road 3 (NR3),PP-RD-022,highway,5.79,70,4,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chbar Ampov,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
dd0c0d6d-da9c-4dcd-9de2-3a8d791c57fd,National Road 4 (NR4),PP-RD-023,highway,3.66,70,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Por Sen Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
87645659-eae4-47d0-9199-703ed6046951,National Road 5 (NR5),PP-RD-024,highway,2.5,70,4,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Mean Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
77998444-b345-41b2-8b71-484461043b24,National Road 6 (NR6),PP-RD-025,highway,6.96,70,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Daun Penh,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
960acc1f-571d-4cda-a645-a751c6135203,National Road 7 (NR7),PP-RD-026,highway,6.69,70,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chroy Changvar,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
83a517f5-2368-43d0-b8a9-19356067fe08,National Road 20 (NR20),PP-RD-027,highway,2.13,70,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Russey Keo,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
7763fab0-bd6c-4d57-ba0f-126096660cda,National Road 21 (NR21),PP-RD-028,highway,8.4,70,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Por Sen Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9719a275-5a9f-42dc-a455-9f23d7c4d174,National Road 51 (NR51),PP-RD-029,highway,1.17,70,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Por Sen Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
323f9c0b-f8e6-4909-ba23-9998c21f74db,National Road 61 (NR61),PP-RD-030,highway,7.48,70,4,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Russey Keo,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8f946d1b-07a1-47c8-b82e-0ab8d929f5f9,Street 51,PP-RD-031,urban,1.53,40,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Mean Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8747a56f-3592-44d0-8faf-cd129d0bb425,Street 114,PP-RD-032,urban,3.9,40,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Russey Keo,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
e75d5f29-321b-4196-b809-9fffdb94a940,Street 155,PP-RD-033,urban,4.6,40,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chamkar Mon,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
bc5390b1-3223-4058-96f1-35b3cc6b814b,Street 163,PP-RD-034,urban,2.97,40,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Por Sen Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
55098c9f-4608-411e-9d42-5814e2cb6f88,Street 178,PP-RD-035,urban,8.27,40,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Russey Keo,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9c87dc28-7a5a-498e-b077-5e6e9d092adc,Street 199,PP-RD-036,urban,6.81,40,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Prampir Makara,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
e3b1c929-b5b3-4964-800e-95a5189c97fe,Street 214,PP-RD-037,urban,4.89,40,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Russey Keo,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
80a93948-9465-4825-9fd2-19212875fb4b,Street 217,PP-RD-038,urban,6.09,40,4,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Mean Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
41ff06b1-83c3-409a-8c08-c0cf844b6434,Street 221,PP-RD-039,urban,7.09,40,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chamkar Mon,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
cf44d2fa-e134-44b3-9145-6bd21db4dfbb,Street 240,PP-RD-040,urban,7.09,40,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Sen Sok,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
3502d083-f80b-4439-9c3f-93cd3aa04378,Street 245,PP-RD-041,urban,1.18,40,4,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Prampir Makara,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9ebabe79-f720-4597-9785-d75deb5e248b,Street 271,PP-RD-042,urban,6.37,40,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chbar Ampov,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
e206a9b0-b199-418a-a9f0-77421d2b2567,Street 278,PP-RD-043,urban,4.6,40,4,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Mean Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
e91ff61d-1c72-49c3-9859-820bcd7077c8,Street 310,PP-RD-044,urban,6.97,40,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Prampir Makara,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
e20e1484-3061-4d5b-aae4-d19b66dbc5f2,Street 315,PP-RD-045,urban,1.59,40,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Dangkao,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
b1034c62-5840-437e-9a76-22aa2f46aad2,Street 360,PP-RD-046,urban,4.91,40,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chroy Changvar,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
362032ed-3bdf-4ecb-8cc7-555bc860717a,Street 598,PP-RD-047,urban,3.69,40,4,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Por Sen Chey,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
4ef9b268-10f0-4f7e-9be8-512c87fa626b,Street 608,PP-RD-048,urban,4.94,40,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Sen Sok,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
bafa98ee-e0b5-4ce4-8a91-0ae785f2bb10,Monivong Bridge Approach,PP-RD-049,urban,3.53,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Sen Sok,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
b9827e64-6139-4147-9968-b8fc67f77502,Chroy Changvar Bridge Approach,PP-RD-050,urban,5.85,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chroy Changvar,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
