id,road_id,signal_code,cycle_duration,timing_sequence,status,created_at
0ae30e74-ac9f-4483-b42a-ac4d676bea3c,55098c9f-4608-411e-9d42-5814e2cb6f88,SIG-PP-016,100,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
a39d3a72-e8fa-4e46-aded-89b9d55b67a4,8f620d49-30df-4be5-861f-90dbdf5a04d9,SIG-PP-017,120,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
f22ab4e5-d07a-4aa1-99ef-6e91b8ad1b1c,b4287d6d-0359-4dc9-9a2a-2ebd1b7121ac,SIG-PP-018,90,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
6aa8be7e-317e-4f84-9762-bc386c5e686e,9479a649-083f-4bd5-ab87-f8779814ab0f,SIG-PP-019,100,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
e564d389-a361-412a-bfb0-5e5d28b4fb77,a0baf562-69fd-4eae-a75c-0e431d52e123,SIG-PP-020,130,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
e8450948-f563-4a92-b0e6-50984d5b5c18,756d6b4a-0ee8-467e-9904-bd27b718aad6,SIG-PP-021,90,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
665bc9a4-3587-4d92-85df-c53385621361,756d6b4a-0ee8-467e-9904-bd27b718aad6,SIG-PP-022,120,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
db8df5eb-44b9-4d34-839d-fd46a762a4bf,f03d7caa-f26a-4bff-8c92-592f861809f8,SIG-PP-023,90,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
1e0790ee-19f8-41c4-90e7-19e8d072a6bd,f03d7caa-f26a-4bff-8c92-592f861809f8,SIG-PP-024,120,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
db21e9cb-bcb7-4b05-8a3c-ba796eb0b6e5,509b9252-df0e-45ab-a43b-493989e7c8b2,SIG-PP-025,90,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
65503234-dace-417e-a3e8-e352c3f8c1b9,a02c6cb6-0ada-476f-84f6-87f09022cb4e,SIG-PP-026,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
1e617e6a-8fd5-433d-8b12-8376d55d2ff9,83a517f5-2368-43d0-b8a9-19356067fe08,SIG-PP-027,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
ea86ffc5-aa39-444d-9339-d294376225e3,7763fab0-bd6c-4d57-ba0f-126096660cda,SIG-PP-028,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
c61bf237-0066-4ca4-80f4-ae97ba3b658f,9719a275-5a9f-42dc-a455-9f23d7c4d174,SIG-PP-029,90,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
2baf102a-8545-4b77-a38c-7cff6421a5c6,323f9c0b-f8e6-4909-ba23-9998c21f74db,SIG-PP-030,120,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
