id,driver_id,owner_id,plate_number,vehicle_type,make,model,color,year,status,created_at
8a110f83-3085-4676-bc4c-082ea42c19be,eb634e26-fde2-4737-8f57-53968143ca3b,f3b19f88-3220-4d92-8135-ccbf071e7322,PP-3017,bus,Yamaha,Tucson,Black,2018,active,2026-07-27T00:00:00Z
95860334-5616-4f3e-a76b-cd8d8790734a,56c14bf7-e8db-4e50-8378-686fed9efe80,b0163d17-b047-485f-b701-60cf1213d8a2,PP-3018,bus,Hyundai,Camry,Red,2022,active,2026-07-27T00:00:00Z
6c9c994a-d897-443d-8c5e-ae03fe9f76e5,f6c6e86e-8ccd-4f4d-8203-9623628f7805,3f990a98-e1c1-45ca-b98e-3de76b3025bf,PP-3019,truck,Hyundai,Wave,Blue,2020,active,2026-07-27T00:00:00Z
72f6dc2e-de76-4cdb-aff0-2e44b9e24a66,8186999f-bcdb-433d-b0e3-54f6e8f747e1,213c48ec-a0f2-44e8-88bc-a043d8165004,PP-3020,car,Suzuki,Tucson,Blue,2023,active,2026-07-27T00:00:00Z
5e636b18-68de-4716-b2a7-b9d008d31fa5,12e602b5-78f1-41fb-a357-65b92f9decc7,79014366-f2cc-42a9-a9da-fa30c51b383e,PP-3021,tuk-tuk,Hyundai,Vios,Blue,2018,active,2026-07-27T00:00:00Z
1976b7a0-d977-4cb4-a2b7-352899f37558,c82994e6-332e-418b-b1d3-ee064ca45dcd,f783f95c-89e4-4950-b0fe-86e60049a354,PP-3022,motorcycle,Hyundai,Prius,Black,2022,active,2026-07-27T00:00:00Z
b4df1b16-08e6-414e-b817-ab6be191aa18,acd33c07-2306-4f4f-b71a-6ae96f0e0d85,7ed2c4ac-f9c1-4a8e-b52e-f38f4545334e,PP-3023,car,Honda,Tucson,Blue,2019,active,2026-07-27T00:00:00Z
2312bbbb-c7eb-48ab-979c-aba88541cf06,0cdbeee8-49ac-43f8-974c-4ef9a40e6cae,3ec54ffd-9daf-4b69-a809-426afd6a208b,PP-3024,truck,Hyundai,Prius,Silver,2021,active,2026-07-27T00:00:00Z
e431ac35-d979-43cd-88a2-1e8a0e916649,6f7b8b20-f21f-431e-9f2a-1fe724cfe55c,1b7538c7-7981-4310-814c-e513a8dc90a5,PP-3025,bus,Suzuki,Vios,Red,2019,active,2026-07-27T00:00:00Z
4691ee60-8a63-4eb3-9533-cd21d60f69d8,0d42c32a-9b12-4a13-8abd-9357fc9f6582,1cb301a1-562a-4a9a-a46e-c33a58b5d213,PP-3026,car,Toyota,Prius,Black,2019,active,2026-07-27T00:00:00Z
94be3e5d-16f7-4e99-8b33-0ccbee245b77,90ad9856-eb8e-415f-a6e2-534504bc4d12,2b4df669-1139-4872-b7a6-104550120312,PP-3027,tuk-tuk,Honda,Vios,White,2024,active,2026-07-27T00:00:00Z
77011be9-a304-419f-a165-f01c4f0eb7fc,391e6091-13f7-48c1-bcb5-539b661545a7,46740461-c0c0-4a8a-bb81-8de6f1939e47,PP-3028,bus,Yamaha,Wave,Black,2021,active,2026-07-27T00:00:00Z
fef0c2f3-5876-4eb1-b7ce-0e5d1e298d64,31af9cfb-711d-4dad-9a6b-d2b1de095efb,2f611083-e288-4051-9b6f-7ddc7cb279a2,PP-3029,tuk-tuk,Hyundai,Camry,Silver,2018,active,2026-07-27T00:00:00Z
c1d31a98-a200-49d0-a0c9-beab7cf8684c,5ed925c3-76f7-4660-804f-ce7495dec685,329f0a4d-b634-4efb-9f7a-f75b95687171,PP-3030,bus,Honda,Tucson,White,2021,active,2026-07-27T00:00:00Z
df7cf629-dda5-4689-babc-ab9e49e7f80f,addad752-08da-479a-aee8-f3e5ef83e4ce,4fccb4bb-c327-4017-927e-5957c1081f28,PP-3031,motorcycle,Honda,Vios,Red,2020,active,2026-07-27T00:00:00Z
b9ade834-09a2-448b-98d8-d17492705106,75b9f778-fba6-416d-a50e-5d03c12bb003,413c08c5-49f6-4e22-8c3b-34dc55336716,PP-3032,car,Suzuki,Prius,Red,2019,active,2026-07-27T00:00:00Z
302ae8e3-eaf6-4025-9a77-5b57dcf331a2,05dd233b-a358-4910-a8c7-d9e5c854397d,e5de8574-443b-4dc5-9279-9680806d6a0a,PP-3033,motorcycle,Yamaha,Vios,Black,2024,active,2026-07-27T00:00:00Z
335e545a-d310-4fd7-8f75-b3d6fcaa15ec,273e1d24-1bb8-4afb-9f15-76ffd2ac22aa,a52af9d2-e50c-4e45-a98c-6fa94995cca6,PP-3034,motorcycle,Yamaha,Vios,Blue,2023,active,2026-07-27T00:00:00Z
cb9d643e-039c-43d8-b19e-4c42736267b5,ec426cbe-3304-4f8b-a7c5-c18e42dda0a4,51fcfd22-dd27-4df0-986e-ff4dbb2a25e7,PP-3035,car,Suzuki,Tucson,Black,2020,active,2026-07-27T00:00:00Z
b7bc4896-aa27-4a6d-a34c-ca8803b58c67,f178b1f6-9e21-4a84-87a2-e509e2d92cb3,87d87928-e103-4513-9b6c-95ce25e9d8a6,PP-3036,tuk-tuk,Toyota,Vios,Silver,2023,active,2026-07-27T00:00:00Z
7222f62f-413e-4100-a43e-cd1b4a995e09,f805dd64-cd55-4e91-aef8-16a4b56bf159,10a75e26-03d7-42de-b5f5-f0090f8f8aed,PP-3037,truck,Hyundai,Tucson,Blue,2020,active,2026-07-27T00:00:00Z
d9a26f4f-e27f-4d76-9939-edab00e561b1,f5a4dd2e-0b3c-423f-a30c-0d70ece5187f,32230e64-63fa-4369-85cf-4870bbdb6f6a,PP-3038,car,Yamaha,Vios,Black,2018,active,2026-07-27T00:00:00Z
c30026ad-2c3a-49d6-9afc-ab15005459b9,8bd5f8f5-4fc9-4ed1-85ce-a2390786c60f,5dcc44ff-513c-4a71-a614-7600fde2ce62,PP-3039,bus,Suzuki,Vios,Black,2021,active,2026-07-27T00:00:00Z
7fe87f09-1699-4d08-b235-98c58f0b39d8,3b0a0d72-0442-4dfb-bb93-2beba59567e8,49029027-000a-4ca8-af66-46d6be07bf3d,PP-3040,tuk-tuk,Hyundai,Camry,White,2020,active,2026-07-27T00:00:00Z
4eb3148a-e8e7-4886-9962-5a94ca2704bc,612d854d-1094-41ce-933c-7541d7c6493d,77b0b79a-5fb7-417b-a050-d0b4cb58f229,PP-3041,car,Yamaha,Tucson,Blue,2024,active,2026-07-27T00:00:00Z
6b7166ef-835e-4219-91ee-ef5ab6104120,58fb686a-845c-4f07-98fe-cde1dd7d9a0c,7bfdbaab-2ae4-4289-94e2-3021f088c7ed,PP-3042,tuk-tuk,Suzuki,Prius,Red,2022,active,2026-07-27T00:00:00Z
224b31d2-f49a-437b-b74b-af7488bf211b,930e1c8d-5197-47c2-a0bd-2a7ab7f5e3f3,dd604e9e-cdd3-45a9-896e-2d2c1d2d16fc,PP-3043,tuk-tuk,Hyundai,Tucson,Silver,2022,active,2026-07-27T00:00:00Z
d49c2ace-928f-4f3f-81a8-d600fc5301a0,3ea75361-75ec-42a0-832f-ae836003ad4e,55f5d407-dcf3-4212-b029-e606c9701dd6,PP-3044,truck,Honda,Prius,Blue,2024,active,2026-07-27T00:00:00Z
7b65b62b-fc0b-4769-a39f-4f5fcfc6aa7d,58bda66e-ffe0-47ee-9e7b-46841703663e,228d3b4d-99c1-4636-af56-fd1ff81a01dd,PP-3045,car,Suzuki,Tucson,Red,2024,active,2026-07-27T00:00:00Z
07474397-d800-436f-b0e0-23220dafaae0,6b98cde5-e430-4e7d-907c-c065dfc2b7da,90874d50-1c54-4a1f-bfe1-b22551b99608,PP-3046,tuk-tuk,Yamaha,Vios,Silver,2024,active,2026-07-27T00:00:00Z
60a675d4-0977-4c04-8ae8-c04208c82c9e,0e972e3a-e684-4f41-b53f-31c813f47954,836de8dd-512b-4d48-85c2-f823d334131f,PP-3047,truck,Yamaha,Camry,Red,2020,active,2026-07-27T00:00:00Z
675e9d25-660a-4767-8bc1-76578b72ef63,ce7a83fe-5cf5-4563-b766-d1f3013bfaf2,8e67bba3-12b0-4bb2-9724-f15e8db92aba,PP-3048,truck,Hyundai,Tucson,Black,2022,active,2026-07-27T00:00:00Z
94511e51-9571-4019-852e-fda65a74ba19,36165f7c-3123-475c-a692-4234959b0a9b,4c5e5dbb-c981-49c3-a839-4c2cb0a8f9aa,PP-3049,car,Yamaha,Vios,Black,2023,active,2026-07-27T00:00:00Z
38744ad2-5838-41ee-abeb-97665ac6418e,9220006a-8943-4fed-97de-0804c0078e1e,48675819-3ab3-4322-aadb-b1b58038ca7a,PP-3050,tuk-tuk,Toyota,Tucson,Red,2024,active,2026-07-27T00:00:00Z
a6478f73-af07-479b-980d-15ce24727842,844d16c0-24c7-45b6-b334-29b1c2118743,de75014b-ec8e-446b-a1a1-1c66c36db029,PP-3051,tuk-tuk,Hyundai,Vios,Blue,2024,active,2026-07-27T00:00:00Z
8424df54-8a8b-4737-beb0-65c0f7335e87,c9cd539a-3578-4c6e-8612-7523587e6899,efe7849d-38d4-4ed2-88d2-9f6c4ab36a04,PP-3052,car,Yamaha,Wave,Silver,2020,active,2026-07-27T00:00:00Z
3679f6bd-fa07-430d-9d05-269539966016,bbf384f9-c063-4696-815d-1f1422346df9,c42c9796-d122-4372-8a5a-240adf88dd2a,PP-3053,tuk-tuk,Yamaha,Wave,White,2019,active,2026-07-27T00:00:00Z
287fa686-cd48-4729-9089-8363dd84b9c2,186d30a8-6535-410c-bacc-a83a31f7434c,11f9c0b2-16c0-41f0-baec-df905285c938,PP-3054,motorcycle,Hyundai,Wave,Black,2018,active,2026-07-27T00:00:00Z
d2ebd76a-6342-4b3d-b014-3e5c7e6f9c19,9348cb7c-72c4-4462-ab71-93d0d0243c35,f4379a50-8a5e-41c7-8f01-aabdd0cfd366,PP-3055,motorcycle,Toyota,Wave,Red,2021,active,2026-07-27T00:00:00Z
1e8efe54-e967-4d3d-8dce-0c584de3db46,001a5ba2-c125-4647-9059-827c3f4b213f,5ac529c6-f77b-4ac8-adbf-5cb7d0ad12d5,PP-3056,bus,Honda,Camry,Black,2019,active,2026-07-27T00:00:00Z
8b2765f0-962b-487f-8802-ac5326afe9cb,9ae78188-28b7-4e0d-ae0c-f438f094818f,17d24adf-b841-4904-bc1a-e6e9e6d8970d,PP-3057,car,Honda,Prius,Black,2021,active,2026-07-27T00:00:00Z
c808aacc-b19d-4102-91d4-e1f7813a6364,add10db0-7fcc-4d48-b8e7-5997e17b3871,73167a17-d159-40a8-9c56-51368f7df173,PP-3058,truck,Hyundai,Camry,Silver,2019,active,2026-07-27T00:00:00Z
d7df5e28-67a0-440f-a709-5020178651a6,d21fb78b-c5cf-43dd-b14b-b4d14018870e,855a6fd5-b341-47be-8920-24093b3b95e1,PP-3059,motorcycle,Yamaha,Wave,White,2020,active,2026-07-27T00:00:00Z
70992f82-59dc-4c4c-941b-5a61c75b09ca,0dcbe57d-a4c7-4f89-95bc-d692b07480b8,2fe2cdd4-9a9d-4f39-82f5-0a97b524946b,PP-3060,bus,Honda,Tucson,White,2023,active,2026-07-27T00:00:00Z
1b54417d-26a7-40da-b71d-cc259ea51036,9e2779c1-bf6b-4aa4-9b00-8b0e542b51e9,6c14432f-4057-4097-852f-cca97e13d887,PP-3061,truck,Suzuki,Tucson,Red,2021,active,2026-07-27T00:00:00Z
8d58967e-4a29-463e-bc8d-4a8ca0038733,bafbe02d-0082-4f8a-9bf4-7ce70bc275a3,de829b05-d6b2-4912-ae56-1288e161b836,PP-3062,tuk-tuk,Toyota,Vios,Blue,2021,active,2026-07-27T00:00:00Z
b85e0b3d-0865-4b80-8de0-9db529fa36e0,a0575093-6221-4f26-9ced-5bb56126496b,c4f92db9-eebc-4481-87ac-2e27a485c4ce,PP-3063,motorcycle,Yamaha,Camry,White,2021,active,2026-07-27T00:00:00Z
a93f9199-0c46-44fd-8727-beacda11c640,d3b35018-546a-441f-bad6-72b2a749607e,27df8364-4704-4a08-a834-a301b3692b49,PP-3064,car,Honda,Prius,Blue,2021,active,2026-07-27T00:00:00Z
0677265e-d75d-47b6-b6d8-6b9653946583,fa488835-93e7-453b-9838-befc7fcde69c,13a32442-3386-40d5-9e23-1304a85aaff1,PP-3065,tuk-tuk,Yamaha,Wave,Black,2023,active,2026-07-27T00:00:00Z
831a4728-b224-488c-a194-4ecf7b1b243b,e13127e2-ce1e-4891-a904-72826413bf2d,762d431d-5ad1-44ad-8ccd-18415c25d632,PP-3066,truck,Toyota,Camry,Black,2023,active,2026-07-27T00:00:00Z
2ee0a57f-0d38-4c70-b8b5-aa52b2a934cc,eb634e26-fde2-4737-8f57-53968143ca3b,f3b19f88-3220-4d92-8135-ccbf071e7322,PP-3067,motorcycle,Honda,Vios,Red,2024,active,2026-07-27T00:00:00Z
20c2cb9a-fa23-4561-9b59-12b9190117a6,56c14bf7-e8db-4e50-8378-686fed9efe80,b0163d17-b047-485f-b701-60cf1213d8a2,PP-3068,car,Toyota,Prius,Red,2019,active,2026-07-27T00:00:00Z
9c89acd1-5f24-4d0c-9960-349126d299c5,f6c6e86e-8ccd-4f4d-8203-9623628f7805,3f990a98-e1c1-45ca-b98e-3de76b3025bf,PP-3069,truck,Honda,Prius,Red,2023,active,2026-07-27T00:00:00Z
