id,fine_id,payment_reference,payment_method,amount,payment_status,paid_at,created_at,updated_at
ff5df614-0daa-43dd-a2a0-b01f25ad50e7,83c59497-848d-497f-aad7-a3b681a0e031,PAY-PP-0029,cash_counter,20000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
6eeacf9d-9735-4518-91af-039414af146c,6d7602d2-f723-4551-a31d-3b1d5437feab,PAY-PP-0030,bank_transfer,20000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
1da6b7e8-acf0-429b-b879-76037a494b5e,2898cb44-fcf9-4206-b921-dc4c3dd0311c,PAY-PP-0031,bank_transfer,30000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
c27349bd-6aa7-43aa-a485-5751674fb436,478833c2-e507-4f34-a3fe-2871dc288834,PAY-PP-0032,bank_transfer,40000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
81014a7a-0786-4174-a4aa-aef0793e6954,19828fba-ce0a-4cb2-a212-145cabe0e8b3,PAY-PP-0033,khqr,40000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
d699990e-e65c-4a3c-a3f7-3495c6c4361c,aac73fe0-cc53-4d13-b7f9-cd4598085a5c,PAY-PP-0034,khqr,30000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
90c5156e-4cc6-4a76-bb94-8c74f9efebe0,08c2250e-dd52-4999-ba0e-a2d2af12b582,PAY-PP-0035,khqr,30000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
16a574c3-7688-4774-8c77-0cb3fed70e48,2e748f7f-f852-4e81-a711-2269885be156,PAY-PP-0036,khqr,30000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
b981d9fc-7269-4de2-952f-86ca7814fb71,934a86c7-1d1d-4395-88d6-5b5364681b1b,PAY-PP-0037,khqr,40000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
4b17782d-b246-446f-80d1-2368ffa79d77,0370889a-5399-4106-b852-e34cfa1942ea,PAY-PP-0038,mobile_banking,30000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
dd6e9326-5783-4713-8e07-f34d8a5b67c0,4a817948-fb1b-46b1-85b4-423378618d55,PAY-PP-0039,bank_transfer,20000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
04eaeb17-c69d-4b8c-9a65-cd25ea98737e,d5b990c3-84f3-4cae-bdc0-da02f4321cea,PAY-PP-0040,cash_counter,20000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8a5873ab-36b4-4e5b-a18d-a05e70cd5f93,840dbde1-4e32-4728-9c01-08e0a8935b53,PAY-PP-0041,mobile_banking,40000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
5bea7530-7133-4fff-a4f9-94701da930c4,76674b8a-8fb6-4085-b05d-e3d08a81ad0c,PAY-PP-0042,mobile_banking,20000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
320747ca-0367-4401-a373-002c9d311c26,c3be1538-8480-41b4-9797-27191f4a6c8e,PAY-PP-0043,khqr,40000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
02acd4f6-381f-4f3a-9bc3-54d957731265,b4544c07-c05e-4a9f-b46e-19b6fd548846,PAY-PP-0044,khqr,50000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
132b82c7-c8c4-4930-adf3-91ce768d6b16,42c43a23-aaf1-4ada-bfda-32b2b9c4cdeb,PAY-PP-0045,khqr,50000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
68eab665-e81d-4380-849e-ffe2775f34ae,18d13530-edb1-475e-a813-5469248b5a7d,PAY-PP-0046,cash_counter,40000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
95f511dd-9ad9-4067-bdb1-9f8bf6efc7d3,67f8ded9-90ee-4295-98eb-e8b58a43e6a6,PAY-PP-0047,bank_transfer,30000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
ffe5b128-f1f9-4ede-aa2d-8218cdc298a7,08c12a48-ec13-4b08-b83e-2fa003a753eb,PAY-PP-0048,bank_transfer,30000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
d0139e7c-7213-4ddb-828e-790b36afa081,6bfbd3b1-e3fc-4af3-978b-3d3d63bb98c3,PAY-PP-0049,mobile_banking,30000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
3541e24f-fecc-4b5c-a1c4-366cf4f7a413,eaf6ebce-94ba-4b2c-ad3d-6a6287e6e537,PAY-PP-0050,khqr,30000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
