split,image,filename_class,label_classes,blur,brightness,width,height,errors,warnings
train,HEIGHT_LIMIT_Height limit_00.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,795.4,104.5,640,640,,
train,HEIGHT_LIMIT_Height limit_01.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,596.0,210.1,640,640,,
train,HEIGHT_LIMIT_Height limit_02.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,613.6,93.7,640,640,,
train,HEIGHT_LIMIT_Height limit_03.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,788.0,188.5,640,640,,
train,HEIGHT_LIMIT_Height limit_04.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,514.9,83.1,640,640,,
train,HEIGHT_LIMIT_Height limit_05.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,540.2,91.6,640,640,,
train,HEIGHT_LIMIT_Height limit_06.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,465.6,86.3,640,640,,
train,HEIGHT_LIMIT_Height limit_07.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,951.5,195.3,640,640,,
train,HEIGHT_LIMIT_Height limit_08.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,1071.8,196.3,640,640,,
train,HEIGHT_LIMIT_Height limit_09.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,1006.3,205.0,640,640,,
train,HEIGHT_LIMIT_Height limit_10.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,1063.1,192.3,640,640,,
train,HEIGHT_LIMIT_Height limit_11.jpg,HEIGHT_LIMIT,HEIGHT_LIMIT,768.8,223.6,640,640,,overexposed (mean=223.6)
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_01.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,520.2,66.4,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_02.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,1000.3,165.6,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_03.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,1200.7,164.7,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_04.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,562.8,76.0,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_05.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,632.3,75.4,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_06.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,597.9,71.4,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_07.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,1267.1,150.8,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_08.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,597.5,71.9,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_10.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,842.8,159.2,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT_3 lanes merge to 2 lanes from the left_11.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_LEFT,785.8,68.2,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_00.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,767.0,72.8,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_01.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,855.5,185.1,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_03.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,611.7,75.2,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_04.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,958.2,184.4,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_05.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,1045.7,180.9,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_06.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,1147.7,156.4,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_07.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,970.3,170.9,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_08.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,618.5,67.5,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_09.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,1108.3,146.7,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_10.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,1139.5,161.9,640,640,,
train,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT_3 lanes merge to 2 lanes from the right_11.jpg,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,I_3_LANES_MERGE_TO_2_LANES_FROM_THE_RIGHT,828.6,179.0,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_00.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,618.8,69.1,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_01.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,1020.1,176.7,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_02.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,1057.8,182.8,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_03.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,808.9,72.7,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_04.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,1064.1,80.5,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_06.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,1155.9,181.8,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_07.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,992.6,184.4,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_08.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,583.6,71.6,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_09.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,927.6,182.7,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_10.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,628.6,70.4,640,640,,
train,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE_Abreast travelling permitted for bicycles_11.jpg,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,I_ABREAST_TRAVELLING_PERMITTED_FOR_BICYCLE,974.3,81.6,640,640,,
train,I_AIRPORTS_Airports_01.jpg,I_AIRPORTS,I_AIRPORTS,679.4,66.0,640,640,,
train,I_AIRPORTS_Airports_02.jpg,I_AIRPORTS,I_AIRPORTS,562.1,74.1,640,640,,
train,I_AIRPORTS_Airports_03.jpg,I_AIRPORTS,I_AIRPORTS,684.2,69.3,640,640,,
train,I_AIRPORTS_Airports_04.jpg,I_AIRPORTS,I_AIRPORTS,1072.5,146.4,640,640,,
train,I_AIRPORTS_Airports_05.jpg,I_AIRPORTS,I_AIRPORTS,785.8,176.7,640,640,,
train,I_AIRPORTS_Airports_06.jpg,I_AIRPORTS,I_AIRPORTS,644.4,68.0,640,640,,
train,I_AIRPORTS_Airports_07.jpg,I_AIRPORTS,I_AIRPORTS,896.0,159.8,640,640,,
train,I_AIRPORTS_Airports_08.jpg,I_AIRPORTS,I_AIRPORTS,514.9,73.9,640,640,,
train,I_AIRPORTS_Airports_09.jpg,I_AIRPORTS,I_AIRPORTS,633.3,73.6,640,640,,
train,I_AIRPORTS_Airports_10.jpg,I_AIRPORTS,I_AIRPORTS,842.3,183.1,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_01.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,722.2,215.5,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_02.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,534.9,96.7,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_03.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,434.8,82.9,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_05.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,536.0,110.2,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_06.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,524.5,98.3,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_07.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,526.9,98.8,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_08.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,706.8,212.2,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_09.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,751.2,193.8,640,640,,
train,I_ANIMAL_DRAWN_CARTS_Animal drawn carts_10.jpg,I_ANIMAL_DRAWN_CARTS,I_ANIMAL_DRAWN_CARTS,496.5,99.4,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_00.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,934.3,183.3,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_01.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,916.2,176.9,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_03.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,960.5,157.3,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_04.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,508.4,70.6,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_05.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,622.3,60.7,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_06.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,970.2,193.6,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_07.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,791.1,65.2,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_08.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,620.7,74.4,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_09.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,680.2,63.5,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_10.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,991.5,190.4,640,640,,
train,I_ARROW_DIRECTION_EXCLUSIVE_LANE_Arrow direction exclusive lane_11.jpg,I_ARROW_DIRECTION_EXCLUSIVE_LANE,I_ARROW_DIRECTION_EXCLUSIVE_LANE,871.9,181.3,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_11_Asian Highway route 11_00.jpg,I_ASIAN_HIGHWAY_ROUTE_11,I_ASIAN_HIGHWAY_ROUTE_11,365.7,92.3,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_11_Asian Highway route 11_03.jpg,I_ASIAN_HIGHWAY_ROUTE_11,I_ASIAN_HIGHWAY_ROUTE_11,100.4,78.3,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_11_Asian Highway route 11_04.jpg,I_ASIAN_HIGHWAY_ROUTE_11,I_ASIAN_HIGHWAY_ROUTE_11,251.8,207.8,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_11_Asian Highway route 11_05.jpg,I_ASIAN_HIGHWAY_ROUTE_11,I_ASIAN_HIGHWAY_ROUTE_11,219.2,188.7,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_11_Asian Highway route 11_08.jpg,I_ASIAN_HIGHWAY_ROUTE_11,I_ASIAN_HIGHWAY_ROUTE_11,155.0,210.3,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_11_Asian Highway route 11_09.jpg,I_ASIAN_HIGHWAY_ROUTE_11,I_ASIAN_HIGHWAY_ROUTE_11,436.9,202.4,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_11_Asian Highway route 11_10.jpg,I_ASIAN_HIGHWAY_ROUTE_11,I_ASIAN_HIGHWAY_ROUTE_11,199.9,88.8,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_11_Asian Highway route 11_11.jpg,I_ASIAN_HIGHWAY_ROUTE_11,I_ASIAN_HIGHWAY_ROUTE_11,486.1,206.4,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_01.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,367.2,219.1,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_04.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,213.7,203.0,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_05.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,187.2,79.9,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_06.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,616.2,198.9,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_07.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,118.1,197.2,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_08.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,181.0,77.2,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_09.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,126.7,206.2,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_10.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,235.3,85.1,640,640,,
train,I_ASIAN_HIGHWAY_ROUTE_1_Asian Highway route 1_11.jpg,I_ASIAN_HIGHWAY_ROUTE_1,I_ASIAN_HIGHWAY_ROUTE_1,271.6,94.8,640,640,,
train,I_BACKWARD_Backward_00.jpg,I_BACKWARD,I_BACKWARD,587.1,221.9,640,640,,overexposed (mean=221.9)
train,I_BACKWARD_Backward_01.jpg,I_BACKWARD,I_BACKWARD,559.1,203.8,640,640,,
train,I_BACKWARD_Backward_02.jpg,I_BACKWARD,I_BACKWARD,485.9,208.6,640,640,,
train,I_BACKWARD_Backward_03.jpg,I_BACKWARD,I_BACKWARD,444.8,222.7,640,640,,overexposed (mean=222.7)
train,I_BACKWARD_Backward_04.jpg,I_BACKWARD,I_BACKWARD,517.1,212.9,640,640,,
train,I_BACKWARD_Backward_05.jpg,I_BACKWARD,I_BACKWARD,332.9,98.6,640,640,,
train,I_BACKWARD_Backward_06.jpg,I_BACKWARD,I_BACKWARD,475.5,216.2,640,640,,
train,I_BACKWARD_Backward_09.jpg,I_BACKWARD,I_BACKWARD,190.3,77.2,640,640,,
train,I_BACKWARD_Backward_10.jpg,I_BACKWARD,I_BACKWARD,455.5,199.9,640,640,,
train,I_BACKWARD_Backward_11.jpg,I_BACKWARD,I_BACKWARD,451.8,202.2,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_02.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,705.2,85.2,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_03.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,794.9,87.1,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_04.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,1198.9,203.6,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_05.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,718.0,79.1,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_06.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,1438.3,206.3,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_07.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,1582.5,209.5,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_08.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,887.3,209.6,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_09.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,1125.9,108.2,640,640,,
train,I_BEWARE_OF_TRAINS_Beware of trains_10.jpg,I_BEWARE_OF_TRAINS,I_BEWARE_OF_TRAINS,1213.4,211.9,640,640,,
train,I_BICYCLES_Bicycles_00.jpg,I_BICYCLES,I_BICYCLES,1021.0,219.8,640,640,,
train,I_BICYCLES_Bicycles_01.jpg,I_BICYCLES,I_BICYCLES,1037.3,202.1,640,640,,
train,I_BICYCLES_Bicycles_02.jpg,I_BICYCLES,I_BICYCLES,1152.8,221.9,640,640,,overexposed (mean=221.9)
train,I_BICYCLES_Bicycles_03.jpg,I_BICYCLES,I_BICYCLES,1041.1,229.1,640,640,,overexposed (mean=229.1)
train,I_BICYCLES_Bicycles_04.jpg,I_BICYCLES,I_BICYCLES,1006.5,212.4,640,640,,
train,I_BICYCLES_Bicycles_05.jpg,I_BICYCLES,I_BICYCLES,865.2,228.7,640,640,,overexposed (mean=228.7)
train,I_BICYCLES_Bicycles_07.jpg,I_BICYCLES,I_BICYCLES,1133.8,205.9,640,640,,
train,I_BICYCLES_Bicycles_08.jpg,I_BICYCLES,I_BICYCLES,885.9,106.9,640,640,,
train,I_BICYCLES_Bicycles_09.jpg,I_BICYCLES,I_BICYCLES,793.2,201.8,640,640,,
train,I_BICYCLES_Bicycles_10.jpg,I_BICYCLES,I_BICYCLES,1018.4,218.9,640,640,,
train,I_BICYCLES_Bicycles_11.jpg,I_BICYCLES,I_BICYCLES,661.9,85.4,640,640,,
train,I_BOATS_RAMP_Boats ramp_00.jpg,I_BOATS_RAMP,I_BOATS_RAMP,1046.6,189.2,640,640,,
train,I_BOATS_RAMP_Boats ramp_01.jpg,I_BOATS_RAMP,I_BOATS_RAMP,1300.8,148.3,640,640,,
train,I_BOATS_RAMP_Boats ramp_02.jpg,I_BOATS_RAMP,I_BOATS_RAMP,986.0,181.6,640,640,,
train,I_BOATS_RAMP_Boats ramp_03.jpg,I_BOATS_RAMP,I_BOATS_RAMP,1403.8,157.1,640,640,,
train,I_BOATS_RAMP_Boats ramp_04.jpg,I_BOATS_RAMP,I_BOATS_RAMP,605.5,77.5,640,640,,
train,I_BOATS_RAMP_Boats ramp_05.jpg,I_BOATS_RAMP,I_BOATS_RAMP,1385.6,152.5,640,640,,
train,I_BOATS_RAMP_Boats ramp_06.jpg,I_BOATS_RAMP,I_BOATS_RAMP,1161.4,187.9,640,640,,
train,I_BOATS_RAMP_Boats ramp_09.jpg,I_BOATS_RAMP,I_BOATS_RAMP,670.7,75.5,640,640,,
train,I_BOATS_RAMP_Boats ramp_10.jpg,I_BOATS_RAMP,I_BOATS_RAMP,596.5,70.1,640,640,,
train,I_BOATS_RAMP_Boats ramp_11.jpg,I_BOATS_RAMP,I_BOATS_RAMP,1309.8,167.0,640,640,,
train,I_BUILT_UP_AREA_BEGINS_Built-up area begins_00.jpg,I_BUILT_UP_AREA_BEGINS,I_BUILT_UP_AREA_BEGINS,376.1,212.2,640,640,,
train,I_BUILT_UP_AREA_BEGINS_Built-up area begins_01.jpg,I_BUILT_UP_AREA_BEGINS,I_BUILT_UP_AREA_BEGINS,431.2,198.1,640,640,,
train,I_BUILT_UP_AREA_BEGINS_Built-up area begins_03.jpg,I_BUILT_UP_AREA_BEGINS,I_BUILT_UP_AREA_BEGINS,449.1,222.3,640,640,,overexposed (mean=222.3)
train,I_BUILT_UP_AREA_BEGINS_Built-up area begins_04.jpg,I_BUILT_UP_AREA_BEGINS,I_BUILT_UP_AREA_BEGINS,456.5,202.7,640,640,,
train,I_BUILT_UP_AREA_BEGINS_Built-up area begins_05.jpg,I_BUILT_UP_AREA_BEGINS,I_BUILT_UP_AREA_BEGINS,450.5,72.5,640,640,,
train,I_BUILT_UP_AREA_BEGINS_Built-up area begins_06.jpg,I_BUILT_UP_AREA_BEGINS,I_BUILT_UP_AREA_BEGINS,497.4,80.0,640,640,,
